Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
1600326000.0,2020-09-17 07-AM,BTCEUR,9246.59,9251.27,9242.75,9251.27,0.0067,61.95
1600322400.0,2020-09-17 06-AM,BTCEUR,9302.08,9318.55,9242.95,9246.59,0.07678,711.82
1600318800.0,2020-09-17 05-AM,BTCEUR,9281.57,9322.23,9274.79,9302.08,0.09128,848.16
1600315200.0,2020-09-17 04-AM,BTCEUR,9273.26,9289.01,9259.86,9281.57,0.07866,729.78
1600311600.0,2020-09-17 03-AM,BTCEUR,9307.35,9309.64,9273.26,9273.26,0.09925,922.51
1600308000.0,2020-09-17 02-AM,BTCEUR,9338.39,9338.39,9292,9307.35,0.09003,838.04
1600304400.0,2020-09-17 01-AM,BTCEUR,9352.37,9370.74,9337.62,9338.39,0.0936,875.52
1600300800.0,2020-09-17 12-AM,BTCEUR,9299.89,9381.89,9285.5,9352.37,0.1062,990.92
1600297200.0,2020-09-16 11-PM,BTCEUR,9343.76,9348.31,9299.89,9299.89,0.07576,706.13
1600293600.0,2020-09-16 10-PM,BTCEUR,9332.02,9351.63,9320.06,9343.76,0.1203,1123.03
1600290000.0,2020-09-16 09-PM,BTCEUR,9332.47,9345.76,9313.2,9332.02,0.08447,788.08
1600286400.0,2020-09-16 08-PM,BTCEUR,9331.09,9374.03,9325.97,9332.47,0.1145,1070.2
1600282800.0,2020-09-16 07-PM,BTCEUR,9357.32,9358.02,9308.62,9331.09,0.727,6784.62
1600279200.0,2020-09-16 06-PM,BTCEUR,9346.98,9389.39,9313.27,9357.32,0.09448,884.08
1600275600.0,2020-09-16 05-PM,BTCEUR,9383.38,9389.44,9320,9346.98,0.1088,1017.82
1600272000.0,2020-09-16 04-PM,BTCEUR,9315.33,9388.83,9311.52,9383.38,0.5871,5477.99
1600268400.0,2020-09-16 03-PM,BTCEUR,9230.85,9317.66,9223.31,9315.33,0.2302,2132.89
1600264800.0,2020-09-16 02-PM,BTCEUR,9239.64,9250,9216.07,9230.85,0.1601,1478.22
1600261200.0,2020-09-16 01-PM,BTCEUR,9240.88,9250,9218.65,9239.64,2.173,20077.14
1600257600.0,2020-09-16 12-PM,BTCEUR,9201.16,9243.51,9182.12,9240.88,0.3284,3021.09
1600254000.0,2020-09-16 11-AM,BTCEUR,9170.46,9202.33,9165,9201.16,1.513,13907.95
1600250400.0,2020-09-16 10-AM,BTCEUR,9188.58,9215.88,9162.86,9170.46,0.08605,790.21
1600246800.0,2020-09-16 09-AM,BTCEUR,9205.33,9211.7,9175.69,9188.58,0.08873,815.25
1600243200.0,2020-09-16 08-AM,BTCEUR,9225.94,9228.52,9182.11,9205.33,0.09516,876.03
1600239600.0,2020-09-16 07-AM,BTCEUR,9170.19,9232.95,9161.34,9225.94,0.5348,4915.42
1600236000.0,2020-09-16 06-AM,BTCEUR,9124.47,9185.77,9105.33,9170.19,0.1294,1182.71
1600232400.0,2020-09-16 05-AM,BTCEUR,9118.09,9144.16,9113.42,9124.47,0.08019,732.05
1600228800.0,2020-09-16 04-AM,BTCEUR,9104.93,9136.89,9098.96,9118.09,0.08614,785.78
1600225200.0,2020-09-16 03-AM,BTCEUR,9072.69,9104.93,9066.67,9104.93,0.0772,701.15
1600221600.0,2020-09-16 02-AM,BTCEUR,9077.47,9083.5,9060.84,9072.69,0.07867,713.75
1600218000.0,2020-09-16 01-AM,BTCEUR,9064.59,9093.51,9043.99,9077.47,0.08906,807.75
1600214400.0,2020-09-16 12-AM,BTCEUR,9110.22,9135.58,9036.53,9064.59,0.1489,1350.06
1600210800.0,2020-09-15 11-PM,BTCEUR,9096.67,9123.98,9096.67,9110.22,0.08401,765.33
1600207200.0,2020-09-15 10-PM,BTCEUR,9187.9,9187.9,9092.6,9096.67,0.2648,2413.39
1600203600.0,2020-09-15 09-PM,BTCEUR,9174.65,9201,9156.45,9187.9,0.2491,2287.55
1600200000.0,2020-09-15 08-PM,BTCEUR,9112.83,9174.65,9105.33,9174.65,0.08541,781.61
